,ds,y
3723,2011-03-13,777
3724,2011-03-14,918
3725,2011-03-15,930
3726,2011-03-16,1054
3727,2011-03-17,1077
3728,2011-03-18,1104
3729,2011-03-19,928
3730,2011-03-20,806
3731,2011-03-21,985
3732,2011-03-22,916
3733,2011-03-23,936
3734,2011-03-24,893
3735,2011-03-25,1022
3736,2011-03-26,862
3737,2011-03-27,845
3738,2011-03-28,899
3739,2011-03-29,917
3740,2011-03-30,939
3741,2011-03-31,959
3742,2011-04-01,1080
3743,2011-04-02,1106
3744,2011-04-03,947
3745,2011-04-04,1031
3746,2011-04-05,992
3747,2011-04-06,1029
3748,2011-04-07,970
3749,2011-04-08,1028
3750,2011-04-09,948
3751,2011-04-10,1113
3752,2011-04-11,1006
3753,2011-04-12,969
3754,2011-04-13,1034
3755,2011-04-14,1028
3756,2011-04-15,1023
3757,2011-04-16,924
3758,2011-04-17,913
3759,2011-04-18,905
3760,2011-04-19,777
3761,2011-04-20,880
3762,2011-04-21,892
3763,2011-04-22,894
3764,2011-04-23,986
3765,2011-04-24,848
3766,2011-04-25,931
3767,2011-04-26,947
3768,2011-04-27,988
3769,2011-04-28,963
3770,2011-04-29,979
3771,2011-04-30,977
3772,2011-05-01,1147
3773,2011-05-02,966
3774,2011-05-03,993
3775,2011-05-04,1025
3776,2011-05-05,1078
3777,2011-05-06,1063
3778,2011-05-07,973
3779,2011-05-08,942
3780,2011-05-09,1057
3781,2011-05-10,1076
3782,2011-05-11,1111
3783,2011-05-12,1045
3784,2011-05-13,1174
3785,2011-05-14,929
3786,2011-05-15,918
3787,2011-05-16,969
3788,2011-05-17,1040
3789,2011-05-18,955
3790,2011-05-19,1060
3791,2011-05-20,1115
3792,2011-05-21,966
3793,2011-05-22,1015
3794,2011-05-23,1053
3795,2011-05-24,1038
3796,2011-05-25,976
3797,2011-05-26,949
3798,2011-05-27,1032
3799,2011-05-28,948
3800,2011-05-29,883
3801,2011-05-30,1004
3802,2011-05-31,1091
3803,2011-06-01,1219
3804,2011-06-02,1178
3805,2011-06-03,1113
3806,2011-06-04,1101
3807,2011-06-05,1032
3808,2011-06-06,1071
3809,2011-06-07,1096
3810,2011-06-08,1081
3811,2011-06-09,962
3812,2011-06-10,1148
3813,2011-06-11,1020
3814,2011-06-12,1006
3815,2011-06-13,1054
3816,2011-06-14,1101
3817,2011-06-15,1107
3818,2011-06-16,1029
3819,2011-06-17,1175
3820,2011-06-18,1058
3821,2011-06-19,1049
3822,2011-06-20,1107
3823,2011-06-21,1067
3824,2011-06-22,1039
3825,2011-06-23,1046
3826,2011-06-24,1029
3827,2011-06-25,1113
3828,2011-06-26,1097
3829,2011-06-27,1000
3830,2011-06-28,1079
3831,2011-06-29,1107
3832,2011-06-30,1033
3833,2011-07-01,1133
3834,2011-07-02,1132
3835,2011-07-03,983
3836,2011-07-04,1030
3837,2011-07-05,1146
3838,2011-07-06,1087
3839,2011-07-07,1073
3840,2011-07-08,1028
3841,2011-07-09,1073
3842,2011-07-10,1080
3843,2011-07-11,1090
3844,2011-07-12,1089
3845,2011-07-13,1118
3846,2011-07-14,1069
3847,2011-07-15,1189
3848,2011-07-16,1103
3849,2011-07-17,1042
3850,2011-07-18,1051
3851,2011-07-19,1069
3852,2011-07-20,1019
3853,2011-07-21,1011
3854,2011-07-22,1128
3855,2011-07-23,1038
3856,2011-07-24,1001
3857,2011-07-25,1062
3858,2011-07-26,1039
3859,2011-07-27,1094
3860,2011-07-28,1090
3861,2011-07-29,1066
3862,2011-07-30,1075
3863,2011-07-31,1049
3864,2011-08-01,1237
3865,2011-08-02,1022
3866,2011-08-03,1126
3867,2011-08-04,1146
3868,2011-08-05,1146
3869,2011-08-06,1107
3870,2011-08-07,929
3871,2011-08-08,924
3872,2011-08-09,997
3873,2011-08-10,1016
3874,2011-08-11,1053
3875,2011-08-12,1130
3876,2011-08-13,1038
3877,2011-08-14,972
3878,2011-08-15,1035
3879,2011-08-16,953
3880,2011-08-17,1032
3881,2011-08-18,1072
3882,2011-08-19,1169
3883,2011-08-20,1083
3884,2011-08-21,1007
3885,2011-08-22,1021
3886,2011-08-23,990
3887,2011-08-24,1032
3888,2011-08-25,1091
3889,2011-08-26,1050
3890,2011-08-27,1050
3891,2011-08-28,1009
3892,2011-08-29,1034
3893,2011-08-30,1045
3894,2011-08-31,1078
3895,2011-09-01,1183
3896,2011-09-02,1090
3897,2011-09-03,997
3898,2011-09-04,971
3899,2011-09-05,935
3900,2011-09-06,942
3901,2011-09-07,992
3902,2011-09-08,934
3903,2011-09-09,1076
3904,2011-09-10,1092
3905,2011-09-11,965
3906,2011-09-12,1055
3907,2011-09-13,1029
3908,2011-09-14,983
3909,2011-09-15,963
3910,2011-09-16,1064
3911,2011-09-17,979
3912,2011-09-18,918
3913,2011-09-19,989
3914,2011-09-20,968
3915,2011-09-21,978
3916,2011-09-22,1130
3917,2011-09-23,1014
3918,2011-09-24,949
3919,2011-09-25,910
3920,2011-09-26,942
3921,2011-09-27,948
3922,2011-09-28,937
3923,2011-09-29,986
3924,2011-09-30,1022
3925,2011-10-01,1073
3926,2011-10-02,927
3927,2011-10-03,940
3928,2011-10-04,970
3929,2011-10-05,966
3930,2011-10-06,971
3931,2011-10-07,1055
3932,2011-10-08,1015
3933,2011-10-09,1003
3934,2011-10-10,896
3935,2011-10-11,1025
3936,2011-10-12,1066
3937,2011-10-13,828
3938,2011-10-14,1021
3939,2011-10-15,962
3940,2011-10-16,893
3941,2011-10-17,918
3942,2011-10-18,919
3943,2011-10-19,878
3944,2011-10-20,888
3945,2011-10-21,1010
3946,2011-10-22,1010
3947,2011-10-23,1042
3948,2011-10-24,1023
3949,2011-10-25,1060
3950,2011-10-26,977
3951,2011-10-27,956
3952,2011-10-28,1046
3953,2011-10-29,948
3954,2011-10-30,954
3955,2011-10-31,1036
3956,2011-11-01,1203
3957,2011-11-02,974
3958,2011-11-03,861
3959,2011-11-04,1005
3960,2011-11-05,905
3961,2011-11-06,941
3962,2011-11-07,869
3963,2011-11-08,871
3964,2011-11-09,892
3965,2011-11-10,865
3966,2011-11-11,959
3967,2011-11-12,998
3968,2011-11-13,934
3969,2011-11-14,963
3970,2011-11-15,1059
3971,2011-11-16,884
3972,2011-11-17,910
3973,2011-11-18,930
3974,2011-11-19,911
3975,2011-11-20,918
3976,2011-11-21,932
3977,2011-11-22,853
3978,2011-11-23,975
3979,2011-11-24,711
3980,2011-11-25,934
3981,2011-11-26,878
3982,2011-11-27,826
3983,2011-11-28,898
3984,2011-11-29,892
3985,2011-11-30,894
3986,2011-12-01,1053
3987,2011-12-02,1000
3988,2011-12-03,876
3989,2011-12-04,884
3990,2011-12-05,935
3991,2011-12-06,875
3992,2011-12-07,834
3993,2011-12-08,830
3994,2011-12-09,861
3995,2011-12-10,882
3996,2011-12-11,836
3997,2011-12-12,922
3998,2011-12-13,976
3999,2011-12-14,910
4000,2011-12-15,935
4001,2011-12-16,950
4002,2011-12-17,816
4003,2011-12-18,832
4004,2011-12-19,940
4005,2011-12-20,980
4006,2011-12-21,937
4007,2011-12-22,880
4008,2011-12-23,923
4009,2011-12-24,734
4010,2011-12-25,518
4011,2011-12-26,713
4012,2011-12-27,786
4013,2011-12-28,852
4014,2011-12-29,864
4015,2011-12-30,898
4016,2011-12-31,791
4017,2012-01-01,1531
4018,2012-01-02,702
4019,2012-01-03,808
4020,2012-01-04,799
4021,2012-01-05,871
4022,2012-01-06,913
4023,2012-01-07,862
4024,2012-01-08,800
4025,2012-01-09,883
4026,2012-01-10,899
4027,2012-01-11,886
4028,2012-01-12,745
4029,2012-01-13,752
4030,2012-01-14,781
4031,2012-01-15,772
4032,2012-01-16,826
4033,2012-01-17,844
4034,2012-01-18,791
4035,2012-01-19,748
4036,2012-01-20,685
4037,2012-01-21,717
4038,2012-01-22,682
4039,2012-01-23,834
4040,2012-01-24,898
4041,2012-01-25,962
4042,2012-01-26,924
4043,2012-01-27,933
4044,2012-01-28,808
4045,2012-01-29,813
4046,2012-01-30,868
4047,2012-01-31,964
4048,2012-02-01,1041
4049,2012-02-02,880
4050,2012-02-03,897
4051,2012-02-04,848
4052,2012-02-05,744
4053,2012-02-06,765
4054,2012-02-07,858
4055,2012-02-08,811
4056,2012-02-09,829
4057,2012-02-10,775
4058,2012-02-11,712
4059,2012-02-12,718
4060,2012-02-13,729
4061,2012-02-14,775
4062,2012-02-15,928
4063,2012-02-16,869
4064,2012-02-17,986
4065,2012-02-18,763
4066,2012-02-19,785
4067,2012-02-20,716
4068,2012-02-21,850
4069,2012-02-22,897
4070,2012-02-23,817
4071,2012-02-24,784
4072,2012-02-25,792
4073,2012-02-26,727
4074,2012-02-27,818
4075,2012-02-28,893
4076,2012-02-29,875
4077,2012-03-01,1042
4078,2012-03-02,881
4079,2012-03-03,779
4080,2012-03-04,757
4081,2012-03-05,764
4082,2012-03-06,938
4083,2012-03-07,950
4084,2012-03-08,922
4085,2012-03-09,958
4086,2012-03-10,891
4087,2012-03-11,805
4088,2012-03-12,912
4089,2012-03-13,926
4090,2012-03-14,930
4091,2012-03-15,1000
4092,2012-03-16,956
4093,2012-03-17,1070
4094,2012-03-18,919
4095,2012-03-19,979
4096,2012-03-20,992
4097,2012-03-21,1076
4098,2012-03-22,979
4099,2012-03-23,976
4100,2012-03-24,905
4101,2012-03-25,885
4102,2012-03-26,831
4103,2012-03-27,868
4104,2012-03-28,911
4105,2012-03-29,948
4106,2012-03-30,941
4107,2012-03-31,878
4108,2012-04-01,999
4109,2012-04-02,828
4110,2012-04-03,883
4111,2012-04-04,865
4112,2012-04-05,881
4113,2012-04-06,903
4114,2012-04-07,974
4115,2012-04-08,820
4116,2012-04-09,918
4117,2012-04-10,844
4118,2012-04-11,920
4119,2012-04-12,922
4120,2012-04-13,939
4121,2012-04-14,944
4122,2012-04-15,977
4123,2012-04-16,931
4124,2012-04-17,959
4125,2012-04-18,879
4126,2012-04-19,961
4127,2012-04-20,917
4128,2012-04-21,876
4129,2012-04-22,824
4130,2012-04-23,935
4131,2012-04-24,896
4132,2012-04-25,952
4133,2012-04-26,925
4134,2012-04-27,962
4135,2012-04-28,878
4136,2012-04-29,803
4137,2012-04-30,869
4138,2012-05-01,1063
4139,2012-05-02,998
4140,2012-05-03,981
4141,2012-05-04,1031
4142,2012-05-05,950
4143,2012-05-06,843
4144,2012-05-07,973
4145,2012-05-08,1025
4146,2012-05-09,977
4147,2012-05-10,916
4148,2012-05-11,998
4149,2012-05-12,932
4150,2012-05-13,819
4151,2012-05-14,1004
4152,2012-05-15,1040
4153,2012-05-16,947
4154,2012-05-17,954
4155,2012-05-18,978
4156,2012-05-19,931
4157,2012-05-20,956
4158,2012-05-21,886
4159,2012-05-22,950
4160,2012-05-23,1072
4161,2012-05-24,1023
4162,2012-05-25,1083
4163,2012-05-26,910
4164,2012-05-27,927
4165,2012-05-28,1030
4166,2012-05-29,1094
4167,2012-05-30,985
4168,2012-05-31,829
4169,2012-06-01,1223
4170,2012-06-02,944
4171,2012-06-03,991
4172,2012-06-04,980
4173,2012-06-05,950
4174,2012-06-06,1024
4175,2012-06-07,991
4176,2012-06-08,1114
4177,2012-06-09,1049
4178,2012-06-10,1008
4179,2012-06-11,1067
4180,2012-06-12,1089
4181,2012-06-13,1076
4182,2012-06-14,979
4183,2012-06-15,1082
4184,2012-06-16,1062
4185,2012-06-17,946
4186,2012-06-18,1068
4187,2012-06-19,1005
4188,2012-06-20,1098
4189,2012-06-21,1056
4190,2012-06-22,1120
4191,2012-06-23,1128
4192,2012-06-24,1077
4193,2012-06-25,965
4194,2012-06-26,957
4195,2012-06-27,1047
4196,2012-06-28,939
4197,2012-06-29,1045
4198,2012-06-30,1011
4199,2012-07-01,1190
4200,2012-07-02,1056
4201,2012-07-03,1060
4202,2012-07-04,1045
4203,2012-07-05,1010
4204,2012-07-06,1027
4205,2012-07-07,1062
4206,2012-07-08,1093
4207,2012-07-09,1065
4208,2012-07-10,1054
4209,2012-07-11,1030
4210,2012-07-12,1040
4211,2012-07-13,1084
4212,2012-07-14,1054
4213,2012-07-15,1125
4214,2012-07-16,988
4215,2012-07-17,1004
4216,2012-07-18,977
4217,2012-07-19,921
4218,2012-07-20,1072
4219,2012-07-21,1065
4220,2012-07-22,985
4221,2012-07-23,988
4222,2012-07-24,967
4223,2012-07-25,1012
4224,2012-07-26,976
4225,2012-07-27,1040
4226,2012-07-28,1044
4227,2012-07-29,1017
4228,2012-07-30,999
4229,2012-07-31,933
4230,2012-08-01,1107
4231,2012-08-02,1019
4232,2012-08-03,1061
4233,2012-08-04,1000
4234,2012-08-05,961
4235,2012-08-06,962
4236,2012-08-07,952
4237,2012-08-08,973
4238,2012-08-09,936
4239,2012-08-10,914
4240,2012-08-11,994
4241,2012-08-12,944
4242,2012-08-13,868
4243,2012-08-14,961
4244,2012-08-15,1063
4245,2012-08-16,937
4246,2012-08-17,963
4247,2012-08-18,986
4248,2012-08-19,940
4249,2012-08-20,893
4250,2012-08-21,921
4251,2012-08-22,890
4252,2012-08-23,1031
4253,2012-08-24,1032
4254,2012-08-25,1080
4255,2012-08-26,905
4256,2012-08-27,902
4257,2012-08-28,953
4258,2012-08-29,955
4259,2012-08-30,929
4260,2012-08-31,1015
4261,2012-09-01,1181
4262,2012-09-02,895
4263,2012-09-03,890
4264,2012-09-04,914
4265,2012-09-05,861
4266,2012-09-06,1018
4267,2012-09-07,960
4268,2012-09-08,985
4269,2012-09-09,910
4270,2012-09-10,880
4271,2012-09-11,913
4272,2012-09-12,936
4273,2012-09-13,868
4274,2012-09-14,997
4275,2012-09-15,1013
4276,2012-09-16,897
4277,2012-09-17,901
4278,2012-09-18,831
4279,2012-09-19,914
4280,2012-09-20,920
4281,2012-09-21,998
4282,2012-09-22,871
4283,2012-09-23,827
4284,2012-09-24,869
4285,2012-09-25,922
4286,2012-09-26,934
4287,2012-09-27,839
4288,2012-09-28,983
4289,2012-09-29,970
4290,2012-09-30,869
4291,2012-10-01,1054
4292,2012-10-02,906
4293,2012-10-03,919
4294,2012-10-04,880
4295,2012-10-05,914
4296,2012-10-06,807
4297,2012-10-07,768
4298,2012-10-08,901
4299,2012-10-09,892
4300,2012-10-10,962
4301,2012-10-11,866
4302,2012-10-12,964
4303,2012-10-13,875
4304,2012-10-14,860
4305,2012-10-15,939
4306,2012-10-16,874
4307,2012-10-17,956
4308,2012-10-18,898
4309,2012-10-19,942
4310,2012-10-20,961
4311,2012-10-21,927
4312,2012-10-22,839
4313,2012-10-23,893
4314,2012-10-24,1019
4315,2012-10-25,851
4316,2012-10-26,963
4317,2012-10-27,861
4318,2012-10-28,827
4319,2012-10-29,833
4320,2012-10-30,873
4321,2012-10-31,951
4322,2012-11-01,1075
4323,2012-11-02,932
4324,2012-11-03,802
4325,2012-11-04,731
4326,2012-11-05,891
4327,2012-11-06,786
4328,2012-11-07,875
4329,2012-11-08,853
4330,2012-11-09,1001
4331,2012-11-10,977
4332,2012-11-11,884
4333,2012-11-12,795
4334,2012-11-13,826
4335,2012-11-14,847
4336,2012-11-15,947
4337,2012-11-16,941
4338,2012-11-17,874
4339,2012-11-18,849
4340,2012-11-19,867
4341,2012-11-20,925
4342,2012-11-21,892
4343,2012-11-22,660
4344,2012-11-23,787
4345,2012-11-24,838
4346,2012-11-25,813
4347,2012-11-26,799
4348,2012-11-27,809
4349,2012-11-28,858
4350,2012-11-29,916
4351,2012-11-30,991
4352,2012-12-01,1058
4353,2012-12-02,842
4354,2012-12-03,933
4355,2012-12-04,917
4356,2012-12-05,861
4357,2012-12-06,876
4358,2012-12-07,899
4359,2012-12-08,778
4360,2012-12-09,761
4361,2012-12-10,853
4362,2012-12-11,826
4363,2012-12-12,914
4364,2012-12-13,809
4365,2012-12-14,954
4366,2012-12-15,858
4367,2012-12-16,789
4368,2012-12-17,829
4369,2012-12-18,851
4370,2012-12-19,877
4371,2012-12-20,828
4372,2012-12-21,778
4373,2012-12-22,732
4374,2012-12-23,763
4375,2012-12-24,709
4376,2012-12-25,522
4377,2012-12-26,621
4378,2012-12-27,684
4379,2012-12-28,855
4380,2012-12-29,806
4381,2012-12-30,707
4382,2012-12-31,740
4383,2013-01-01,1421
4384,2013-01-02,750
4385,2013-01-03,775
4386,2013-01-04,866
4387,2013-01-05,788
4388,2013-01-06,698
4389,2013-01-07,818
4390,2013-01-08,755
4391,2013-01-09,884
4392,2013-01-10,848
4393,2013-01-11,905
4394,2013-01-12,763
4395,2013-01-13,709
4396,2013-01-14,745
4397,2013-01-15,841
4398,2013-01-16,831
4399,2013-01-17,849
4400,2013-01-18,927
4401,2013-01-19,885
4402,2013-01-20,688
4403,2013-01-21,665
4404,2013-01-22,693
4405,2013-01-23,797
4406,2013-01-24,863
4407,2013-01-25,824
4408,2013-01-26,797
4409,2013-01-27,704
4410,2013-01-28,907
4411,2013-01-29,906
4412,2013-01-30,856
4413,2013-01-31,753
4414,2013-02-01,889
4415,2013-02-02,738
4416,2013-02-03,592
4417,2013-02-04,728
4418,2013-02-05,789
4419,2013-02-06,826
4420,2013-02-07,753
4421,2013-02-08,816
4422,2013-02-09,801
4423,2013-02-10,762
4424,2013-02-11,760
4425,2013-02-12,785
4426,2013-02-13,860
4427,2013-02-14,750
4428,2013-02-15,933
4429,2013-02-16,691
4430,2013-02-17,692
4431,2013-02-18,756
4432,2013-02-19,750
4433,2013-02-20,768
4434,2013-02-21,768
4435,2013-02-22,763
4436,2013-02-23,697
4437,2013-02-24,676
4438,2013-02-25,757
4439,2013-02-26,675
4440,2013-02-27,826
4441,2013-02-28,808
4442,2013-03-01,1005
4443,2013-03-02,766
4444,2013-03-03,717
4445,2013-03-04,814
4446,2013-03-05,696
4447,2013-03-06,724
4448,2013-03-07,832
4449,2013-03-08,880
4450,2013-03-09,838
4451,2013-03-10,694
4452,2013-03-11,824
4453,2013-03-12,841
4454,2013-03-13,824
4455,2013-03-14,842
4456,2013-03-15,878
4457,2013-03-16,827
4458,2013-03-17,773
4459,2013-03-18,794
4460,2013-03-19,771
4461,2013-03-20,789
4462,2013-03-21,759
4463,2013-03-22,864
4464,2013-03-23,783
4465,2013-03-24,789
4466,2013-03-25,758
4467,2013-03-26,775
4468,2013-03-27,775
4469,2013-03-28,833
4470,2013-03-29,874
4471,2013-03-30,868
4472,2013-03-31,767
4473,2013-04-01,953
4474,2013-04-02,839
4475,2013-04-03,827
4476,2013-04-04,934
4477,2013-04-05,900
4478,2013-04-06,807
4479,2013-04-07,797
4480,2013-04-08,896
4481,2013-04-09,825
4482,2013-04-10,852
4483,2013-04-11,813
4484,2013-04-12,922
4485,2013-04-13,842
4486,2013-04-14,827
4487,2013-04-15,843
4488,2013-04-16,862
4489,2013-04-17,719
4490,2013-04-18,797
4491,2013-04-19,847
4492,2013-04-20,804
4493,2013-04-21,773
4494,2013-04-22,915
4495,2013-04-23,764
4496,2013-04-24,907
4497,2013-04-25,876
4498,2013-04-26,962
4499,2013-04-27,869
4500,2013-04-28,794
4501,2013-04-29,904
4502,2013-04-30,861
4503,2013-05-01,1169
4504,2013-05-02,827
4505,2013-05-03,903
4506,2013-05-04,913
4507,2013-05-05,827
4508,2013-05-06,878
4509,2013-05-07,909
4510,2013-05-08,965
4511,2013-05-09,837
4512,2013-05-10,915
4513,2013-05-11,833
4514,2013-05-12,833
4515,2013-05-13,895
4516,2013-05-14,906
4517,2013-05-15,1037
4518,2013-05-16,973
4519,2013-05-17,989
4520,2013-05-18,946
4521,2013-05-19,850
4522,2013-05-20,961
4523,2013-05-21,931
4524,2013-05-22,910
4525,2013-05-23,840
4526,2013-05-24,935
4527,2013-05-25,838
4528,2013-05-26,778
4529,2013-05-27,771
4530,2013-05-28,848
4531,2013-05-29,904
4532,2013-05-30,946
4533,2013-05-31,933
4534,2013-06-01,1083
4535,2013-06-02,832
4536,2013-06-03,914
4537,2013-06-04,858
4538,2013-06-05,904
4539,2013-06-06,960
4540,2013-06-07,878
4541,2013-06-08,923
4542,2013-06-09,831
4543,2013-06-10,888
4544,2013-06-11,856
4545,2013-06-12,830
4546,2013-06-13,916
4547,2013-06-14,1008
4548,2013-06-15,899
4549,2013-06-16,957
4550,2013-06-17,1022
4551,2013-06-18,930
4552,2013-06-19,900
4553,2013-06-20,969
4554,2013-06-21,904
4555,2013-06-22,922
4556,2013-06-23,889
4557,2013-06-24,825
4558,2013-06-25,913
4559,2013-06-26,953
4560,2013-06-27,875
4561,2013-06-28,910
4562,2013-06-29,903
4563,2013-06-30,934
4564,2013-07-01,1080
4565,2013-07-02,880
4566,2013-07-03,879
4567,2013-07-04,946
4568,2013-07-05,989
4569,2013-07-06,887
4570,2013-07-07,903
4571,2013-07-08,884
4572,2013-07-09,884
4573,2013-07-10,872
4574,2013-07-11,885
4575,2013-07-12,947
4576,2013-07-13,947
4577,2013-07-14,946
4578,2013-07-15,1018
4579,2013-07-16,907
4580,2013-07-17,932
4581,2013-07-18,920
4582,2013-07-19,904
4583,2013-07-20,918
4584,2013-07-21,929
4585,2013-07-22,1002
4586,2013-07-23,925
4587,2013-07-24,964
4588,2013-07-25,918
4589,2013-07-26,991
4590,2013-07-27,895
4591,2013-07-28,859
4592,2013-07-29,891
4593,2013-07-30,891
4594,2013-07-31,843
4595,2013-08-01,1028
4596,2013-08-02,969
4597,2013-08-03,973
4598,2013-08-04,922
4599,2013-08-05,853
4600,2013-08-06,905
4601,2013-08-07,940
4602,2013-08-08,911
4603,2013-08-09,987
4604,2013-08-10,1019
4605,2013-08-11,896
4606,2013-08-12,983
4607,2013-08-13,900
4608,2013-08-14,882
4609,2013-08-15,924
4610,2013-08-16,925
4611,2013-08-17,944
4612,2013-08-18,882
4613,2013-08-19,938
4614,2013-08-20,962
4615,2013-08-21,864
4616,2013-08-22,906
4617,2013-08-23,907
4618,2013-08-24,941
4619,2013-08-25,949
4620,2013-08-26,942
4621,2013-08-27,885
4622,2013-08-28,902
4623,2013-08-29,872
4624,2013-08-30,934
4625,2013-08-31,816
4626,2013-09-01,1116
4627,2013-09-02,928
4628,2013-09-03,873
4629,2013-09-04,839
4630,2013-09-05,928
4631,2013-09-06,897
4632,2013-09-07,921
4633,2013-09-08,866
4634,2013-09-09,868
4635,2013-09-10,916
4636,2013-09-11,872
4637,2013-09-12,857
4638,2013-09-13,887
4639,2013-09-14,829
4640,2013-09-15,835
4641,2013-09-16,776
4642,2013-09-17,838
4643,2013-09-18,854
4644,2013-09-19,852
