,STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,cluster,location,latitude,longitude
8210,ANDHRA PRADESH,CYBERABAD,2012,198,113,75,158,14,86,4461,4013,1,"CYBERABAD, ANDHRA PRADESH, INDIA",17.4066219,78.3941677
8215,ANDHRA PRADESH,HYDERABAD CITY,2012,102,166,74,88,12,57,3694,3381,1,"HYDERABAD CITY, ANDHRA PRADESH, INDIA",17.385,78.4867
8272,ASSAM,GUWAHATI CITY,2012,83,6,78,341,14,275,2426,320,1,"GUWAHATI CITY, ASSAM, INDIA",26.1551026,91.78227731
8283,ASSAM,NAGAON,2012,74,86,173,351,39,93,540,828,1,"NAGAON, ASSAM, INDIA",26.30414915,92.71605974
8315,BIHAR,MOTIHARI,2012,124,735,22,233,27,46,553,1468,1,"MOTIHARI, BIHAR, INDIA",26.66951195,84.95741062
8317,BIHAR,MUZAFFARPUR,2012,198,611,34,279,48,73,1469,2219,1,"MUZAFFARPUR, BIHAR, INDIA",26.1486581,85.34001282
8322,BIHAR,PATNA,2012,356,86,49,376,38,119,3114,4157,1,"PATNA, BIHAR, INDIA",25.6093239,85.1235252
8368,GUJARAT,AHMEDABAD COMMR.,2012,90,49,63,229,24,603,3622,1320,1,"AHMEDABAD COMMR., GUJARAT, INDIA",23.0225,72.5714
8502,KARNATAKA,BANGALORE COMMR.,2012,266,454,90,532,37,670,9826,3095,1,"BANGALORE COMMR., KARNATAKA, INDIA",12.9716,77.5946
8565,MADHYA PRADESH,BHOPAL,2012,78,96,143,63,2,200,2605,1361,1,"BHOPAL, MADHYA PRADESH, INDIA",23.2584857,77.401989
8576,MADHYA PRADESH,GWALIOR,2012,96,172,85,83,8,199,2116,776,1,"GWALIOR, MADHYA PRADESH, INDIA",26.2037247,78.1573628
8579,MADHYA PRADESH,INDORE,2012,123,172,173,54,4,275,4370,1064,1,"INDORE, MADHYA PRADESH, INDIA",22.7203616,75.8681996
8612,MAHARASHTRA,AHMEDNAGAR,2012,111,91,61,59,48,262,1374,802,1,"AHMEDNAGAR, MAHARASHTRA, INDIA",19.1627725,74.8580243
8630,MAHARASHTRA,MUMBAI COMMR.,2012,215,170,232,212,29,1131,10851,3939,1,"MUMBAI COMMR., MAHARASHTRA, INDIA",19.076,72.8777
8632,MAHARASHTRA,NAGPUR COMMR.,2012,88,85,57,53,13,491,2339,974,1,"NAGPUR COMMR., MAHARASHTRA, INDIA",21.1458,79.0882
8642,MAHARASHTRA,PUNE COMMR.,2012,110,124,85,109,35,731,4181,1071,1,"PUNE COMMR., MAHARASHTRA, INDIA",18.5204,73.8567
8644,MAHARASHTRA,PUNE RURAL,2012,163,97,92,71,46,258,1819,886,1,"PUNE RURAL, MAHARASHTRA, INDIA",18.5431042,73.82229853
8652,MAHARASHTRA,THANE COMMR.,2012,110,93,107,124,23,757,2435,1378,1,"THANE COMMR., MAHARASHTRA, INDIA",19.2183,72.9781
8653,MAHARASHTRA,THANE RURAL,2012,146,74,63,64,48,389,1291,913,1,"THANE RURAL, MAHARASHTRA, INDIA",19.2403,73.1305
8765,RAJASTHAN,ALWAR,2012,100,88,129,243,8,63,3220,2612,1,"ALWAR, RAJASTHAN, INDIA",27.5,76.5
8813,TAMIL NADU,CHENNAI,2012,180,219,94,87,2,85,2169,1412,1,"CHENNAI, TAMIL NADU, INDIA",13.0836939,80.270186
8862,UTTAR PRADESH,AGRA,2012,152,171,58,321,14,233,3472,377,1,"AGRA, UTTAR PRADESH, INDIA",27.1752554,78.0098161
8863,UTTAR PRADESH,ALIGARH,2012,177,150,64,298,22,121,1350,254,1,"ALIGARH, UTTAR PRADESH, INDIA",27.833333,78.166667
8891,UTTAR PRADESH,GAUTAMBUDH NAGAR,2012,89,103,19,158,7,202,2912,91,1,"GAUTAMBUDH NAGAR, UTTAR PRADESH, INDIA",28.3383,77.6078
8892,UTTAR PRADESH,GHAZIABAD,2012,146,111,31,255,6,106,2707,14,1,"GHAZIABAD, UTTAR PRADESH, INDIA",28.6711527,77.4120356
8904,UTTAR PRADESH,KANPUR NAGAR,2012,151,126,55,318,13,142,1514,289,1,"KANPUR NAGAR, UTTAR PRADESH, INDIA",26.4402119,80.26930513
8910,UTTAR PRADESH,LUCKNOW,2012,141,99,48,315,8,63,2462,91,1,"LUCKNOW, UTTAR PRADESH, INDIA",26.8381,80.9346001
8916,UTTAR PRADESH,MEERUT,2012,202,246,54,287,16,264,2394,22,1,"MEERUT, UTTAR PRADESH, INDIA",29.00065255,77.76822875
8953,WEST BENGAL,24 PARGANAS NORTH,2012,140,108,118,497,34,61,1453,79,1,"24 PARGANAS NORTH, WEST BENGAL, INDIA",22.6437156,88.4404049
8954,WEST BENGAL,24 PARGANAS SOUTH,2012,224,8,244,419,34,35,1279,234,1,"24 PARGANAS SOUTH, WEST BENGAL, INDIA",22.58319535,88.41657418
8968,WEST BENGAL,JALPAIGURI,2012,117,156,163,334,5,36,1461,220,1,"JALPAIGURI, WEST BENGAL, INDIA",26.4733048,88.67886686
8971,WEST BENGAL,KOLKATA,2012,85,154,68,271,8,44,4960,3518,1,"KOLKATA, WEST BENGAL, INDIA",22.5726459,88.3638953
8972,WEST BENGAL,MALDA,2012,118,322,158,290,2,15,413,787,1,"MALDA, WEST BENGAL, INDIA",25.0057449,88.1398483
8973,WEST BENGAL,MURSHIDABAD,2012,174,395,257,579,9,42,961,3254,1,"MURSHIDABAD, WEST BENGAL, INDIA",24.1745993,88.2721335
8974,WEST BENGAL,NADIA,2012,146,357,174,433,29,34,1251,2632,1,"NADIA, WEST BENGAL, INDIA",23.4836184,88.55570832
8998,DELHI UT,EAST,2012,48,53,90,503,4,57,3258,161,1,"EAST, DELHI UT, INDIA",28.6258,77.3037
9004,DELHI UT,NORTH-EAST,2012,49,65,78,510,4,58,2616,242,1,"NORTH-EAST, DELHI UT, INDIA",28.7247,77.2578
9006,DELHI UT,OUTER,2012,96,60,67,572,6,91,2215,224,1,"OUTER, DELHI UT, INDIA",28.6138954,77.2090057
9008,DELHI UT,SOUTH-EAST,2012,46,69,116,538,2,72,2892,252,1,"SOUTH-EAST, DELHI UT, INDIA",28.5485,77.275
9011,DELHI UT,WEST,2012,52,37,79,454,2,52,2352,227,1,"WEST, DELHI UT, INDIA",28.6663,77.068
8212,ANDHRA PRADESH,GUNTAKAL RLY.,2012,7,0,1,1,1,3,268,11,2,"GUNTAKAL RLY., ANDHRA PRADESH, INDIA",15.1692,77.3731
8226,ANDHRA PRADESH,RAJAHMUNDRY,2012,23,25,13,9,0,7,337,734,2,"RAJAHMUNDRY, ANDHRA PRADESH, INDIA",17.0050454,81.7804732
8227,ANDHRA PRADESH,RANGA REDDY,2012,72,27,27,22,5,11,175,600,2,"RANGA REDDY, ANDHRA PRADESH, INDIA",13.1006135,79.1260283
8228,ANDHRA PRADESH,SECUNDERABAD RLY.,2012,4,0,2,0,0,3,787,9,2,"SECUNDERABAD RLY., ANDHRA PRADESH, INDIA",17.4436,78.5003
8229,ANDHRA PRADESH,SRIKAKULAM,2012,35,40,39,18,1,9,179,1511,2,"SRIKAKULAM, ANDHRA PRADESH, INDIA",18.32002205,83.9160772
8230,ANDHRA PRADESH,TIRUPATHI URBAN,2012,37,29,12,25,0,13,630,672,2,"TIRUPATHI URBAN, ANDHRA PRADESH, INDIA",13.6268832,79.38665197
8232,ANDHRA PRADESH,VIJAYAWADA RLY.,2012,7,1,0,3,3,4,597,18,2,"VIJAYAWADA RLY., ANDHRA PRADESH, INDIA",16.5062,80.648
8233,ANDHRA PRADESH,VISAKHA RURAL,2012,67,29,27,22,0,3,224,992,2,"VISAKHA RURAL, ANDHRA PRADESH, INDIA",16.9933958,82.2420387
8237,ANDHRA PRADESH,WARANGAL URBAN,2012,41,17,30,41,2,14,421,1071,2,"WARANGAL URBAN, ANDHRA PRADESH, INDIA",18.0074,79.5884
8240,ARUNACHAL PRADESH,ANJAW,2012,0,0,0,1,0,0,2,3,2,"ANJAW, ARUNACHAL PRADESH, INDIA",28.1114301,96.82699963
8241,ARUNACHAL PRADESH,CHANGLANG,2012,7,6,6,12,2,4,31,42,2,"CHANGLANG, ARUNACHAL PRADESH, INDIA",27.1398402,95.7382485
8242,ARUNACHAL PRADESH,DIBANG VALLEY,2012,4,0,2,5,2,2,16,13,2,"DIBANG VALLEY, ARUNACHAL PRADESH, INDIA",28.0463795,95.6622503
8243,ARUNACHAL PRADESH,K/KUMEY,2012,1,0,2,1,1,0,5,6,2,"K/KUMEY, ARUNACHAL PRADESH, INDIA",28.0437,94.7278
8244,ARUNACHAL PRADESH,KAMENG EAST,2012,9,1,6,2,2,4,9,43,2,"KAMENG EAST, ARUNACHAL PRADESH, INDIA",27.3,93.05
8245,ARUNACHAL PRADESH,KAMENG WEST,2012,6,1,0,3,1,1,14,30,2,"KAMENG WEST, ARUNACHAL PRADESH, INDIA",27.4,92.35
8246,ARUNACHAL PRADESH,LOHIT,2012,11,4,3,12,1,7,38,20,2,"LOHIT, ARUNACHAL PRADESH, INDIA",27.8239052,95.861898
8247,ARUNACHAL PRADESH,PAPUM PARE,2012,4,5,7,20,4,15,102,62,2,"PAPUM PARE, ARUNACHAL PRADESH, INDIA",27.28636665,93.6187716
8248,ARUNACHAL PRADESH,RURAL,2012,6,1,6,4,0,1,11,20,2,"RURAL, ARUNACHAL PRADESH, INDIA",28.7929298,95.8958848
8249,ARUNACHAL PRADESH,SIANG EAST,2012,5,0,6,1,2,6,46,16,2,"SIANG EAST, ARUNACHAL PRADESH, INDIA",28.3,95.15
8250,ARUNACHAL PRADESH,SIANG UPPER,2012,1,1,1,3,1,0,11,7,2,"SIANG UPPER, ARUNACHAL PRADESH, INDIA",28.3,95.15
8251,ARUNACHAL PRADESH,SIANG WEST,2012,4,1,2,4,0,8,38,54,2,"SIANG WEST, ARUNACHAL PRADESH, INDIA",28.4,94.55
8252,ARUNACHAL PRADESH,SUBANSIRI LOWER,2012,4,1,0,4,1,7,12,33,2,"SUBANSIRI LOWER, ARUNACHAL PRADESH, INDIA",27.8,93.6
8253,ARUNACHAL PRADESH,SUBANSIRI UPPER,2012,3,0,4,4,0,4,19,61,2,"SUBANSIRI UPPER, ARUNACHAL PRADESH, INDIA",28.44022055,93.18557022
8254,ARUNACHAL PRADESH,TAWANG,2012,2,0,0,0,0,1,16,2,2,"TAWANG, ARUNACHAL PRADESH, INDIA",27.5879186,91.863733
8255,ARUNACHAL PRADESH,TIRAP,2012,6,7,1,6,3,5,31,25,2,"TIRAP, ARUNACHAL PRADESH, INDIA",27.03016895,95.49791755
8256,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2012,0,1,0,0,0,0,1,1,2,"UPPER DIBANG VALLEY, ARUNACHAL PRADESH, INDIA",28.8291044,95.95540958
8258,ASSAM,BAKSA,2012,38,7,33,62,5,14,104,66,2,"BAKSA, ASSAM, INDIA",26.6275689,91.33885515
8260,ASSAM,BIEO,2012,0,0,0,0,0,0,0,0,2,"BIEO, ASSAM, INDIA",27.188,95.2144
8261,ASSAM,BONGAIGAON,2012,17,9,50,73,9,5,147,150,2,"BONGAIGAON, ASSAM, INDIA",26.41237695,90.57149765
8262,ASSAM,C.I.D.,2012,1,0,4,2,0,0,5,0,2,"C.I.D., ASSAM, INDIA",26.1667,91.7667
8264,ASSAM,CHIRANG,2012,40,4,24,40,5,6,63,16,2,"CHIRANG, ASSAM, INDIA",26.6464231,90.62415699
8266,ASSAM,DHEMAJI,2012,24,10,74,87,5,15,101,96,2,"DHEMAJI, ASSAM, INDIA",27.4668315,94.51786509
8269,ASSAM,G.R.P.,2012,15,0,3,4,4,16,154,3,2,"G.R.P., ASSAM, INDIA",26.1761,91.7634
8273,ASSAM,HAILAKANDI,2012,24,13,56,96,11,6,149,51,2,"HAILAKANDI, ASSAM, INDIA",24.68845365,92.57381528
8274,ASSAM,HAMREN,2012,9,0,3,16,0,3,36,21,2,"HAMREN, ASSAM, INDIA",25.8452623,92.5746202
8277,ASSAM,KARBI ANGLONG,2012,35,24,28,58,4,5,177,53,2,"KARBI ANGLONG, ASSAM, INDIA",26,93.5
8278,ASSAM,KARIMGANJ,2012,36,22,32,85,15,9,197,106,2,"KARIMGANJ, ASSAM, INDIA",24.8483482,92.33221292
8281,ASSAM,MORIGAON,2012,20,33,58,88,5,13,98,436,2,"MORIGAON, ASSAM, INDIA",26.2551482,92.3290878
8282,ASSAM,N.C.HILLS,2012,15,13,5,23,0,0,35,38,2,"N.C.HILLS, ASSAM, INDIA",25.75,93.5
8284,ASSAM,NALBARI,2012,22,3,34,101,7,25,177,339,2,"NALBARI, ASSAM, INDIA",26.42386165,91.45122755
8285,ASSAM,R.P.O.,2012,2,0,0,8,2,0,4,0,2,"R.P.O., ASSAM, INDIA",26.1573,91.7612
8289,ASSAM,UDALGURI,2012,33,27,23,58,2,9,109,150,2,"UDALGURI, ASSAM, INDIA",26.7503815,92.0977245
8292,BIHAR,ARWAL,2012,20,72,5,26,1,6,60,375,2,"ARWAL, BIHAR, INDIA",25.18077715,84.65920203
8294,BIHAR,BAGAHA,2012,43,0,11,76,2,8,126,43,2,"BAGAHA, BIHAR, INDIA",27.05901115,84.20646375
8298,BIHAR,BHABHUA,2012,48,43,10,45,3,16,238,902,2,"BHABHUA, BIHAR, INDIA",25.75,85.75
8305,BIHAR,JAMALPUR RLY.,2012,8,9,1,2,3,8,186,28,2,"JAMALPUR RLY., BIHAR, INDIA",25.75,85.75
8307,BIHAR,JEHANABAD,2012,46,12,8,47,4,14,160,647,2,"JEHANABAD, BIHAR, INDIA",25.15247135,85.00687849
8309,BIHAR,KATIHAR RLY.,2012,13,1,0,8,3,4,166,34,2,"KATIHAR RLY., BIHAR, INDIA",25.75,85.75
8311,BIHAR,KISHANGANJ,2012,39,0,32,72,8,6,150,227,2,"KISHANGANJ, BIHAR, INDIA",26.1304353,87.94010318
8312,BIHAR,LAKHISARAI,2012,40,86,13,39,7,13,107,290,2,"LAKHISARAI, BIHAR, INDIA",25.1677029,86.05935924
8316,BIHAR,MUNGER,2012,68,32,9,65,8,28,166,415,2,"MUNGER, BIHAR, INDIA",25.22081165,86.51720367
8318,BIHAR,MUZAFFARPUR RLY.,2012,11,0,2,1,3,10,301,0,2,"MUZAFFARPUR RLY., BIHAR, INDIA",25.75,85.75
8320,BIHAR,NAUGACHIA,2012,47,95,2,21,2,8,60,637,2,"NAUGACHIA, BIHAR, INDIA",25.3857731,87.0997616
8323,BIHAR,PATNA RLY.,2012,11,9,2,8,6,9,777,13,2,"PATNA RLY., BIHAR, INDIA",25.75,85.75
8329,BIHAR,SHEIKHPURA,2012,30,88,10,39,6,8,73,426,2,"SHEIKHPURA, BIHAR, INDIA",25.12635425,85.81510621
8330,BIHAR,SHEOHAR,2012,20,6,2,32,5,6,76,329,2,"SHEOHAR, BIHAR, INDIA",26.49436945,85.2728056
8336,CHHATTISGARH,BALOD,2012,15,2,22,7,2,6,75,24,2,"BALOD, CHHATTISGARH, INDIA",20.7277192,81.14469475
8337,CHHATTISGARH,BALODA BAZAR,2012,24,18,45,18,3,26,181,858,2,"BALODA BAZAR, CHHATTISGARH, INDIA",21.57318475,82.29948208
8338,CHHATTISGARH,BALRAMPUR,2012,39,18,64,5,4,7,48,87,2,"BALRAMPUR, CHHATTISGARH, INDIA",23.6282576,83.48109162
8339,CHHATTISGARH,BEMETARA,2012,12,15,24,19,0,8,105,30,2,"BEMETARA, CHHATTISGARH, INDIA",21.6783867,81.44125784
8341,CHHATTISGARH,BIZAPUR,2012,46,58,4,3,7,7,14,10,2,"BIZAPUR, CHHATTISGARH, INDIA",21.5,82
8342,CHHATTISGARH,DANTEWARA,2012,40,12,7,1,3,0,16,16,2,"DANTEWARA, CHHATTISGARH, INDIA",18.9080391,81.3550047
8343,CHHATTISGARH,DHAMTARI,2012,17,7,21,2,0,7,95,51,2,"DHAMTARI, CHHATTISGARH, INDIA",20.7084545,81.5481305
8345,CHHATTISGARH,GARIYABAND,2012,13,13,19,6,2,5,75,267,2,"GARIYABAND, CHHATTISGARH, INDIA",20.52675605,82.19172167
8346,CHHATTISGARH,GRP RAIPUR,2012,3,1,2,7,0,2,196,9,2,"GRP RAIPUR, CHHATTISGARH, INDIA",20.91667,82
8347,CHHATTISGARH,JAGDALPUR,2012,42,22,36,11,0,9,81,455,2,"JAGDALPUR, CHHATTISGARH, INDIA",19.0870758,82.0235715
8348,CHHATTISGARH,JANJGIR,2012,51,16,33,21,2,32,379,1162,2,"JANJGIR, CHHATTISGARH, INDIA",22.0090841,82.578896
8349,CHHATTISGARH,JASHPUR,2012,54,27,80,60,1,10,81,77,2,"JASHPUR, CHHATTISGARH, INDIA",22.770251,83.97080132
8350,CHHATTISGARH,KABIRDHAM,2012,17,20,22,14,0,11,69,564,2,"KABIRDHAM, CHHATTISGARH, INDIA",22.11501055,81.24447647
8351,CHHATTISGARH,KANKER,2012,32,21,23,9,5,5,39,17,2,"KANKER, CHHATTISGARH, INDIA",20.12868925,80.98453
8352,CHHATTISGARH,KONDAGAON,2012,21,8,11,7,0,0,23,126,2,"KONDAGAON, CHHATTISGARH, INDIA",19.5885769,81.6628742
8353,CHHATTISGARH,KORBA,2012,44,9,43,16,1,8,180,692,2,"KORBA, CHHATTISGARH, INDIA",22.3547468,82.7110855
8354,CHHATTISGARH,KORIYA,2012,38,17,42,13,0,8,77,596,2,"KORIYA, CHHATTISGARH, INDIA",23.4316014,82.31383043
8355,CHHATTISGARH,MAHASAMUND,2012,33,9,28,38,1,15,174,98,2,"MAHASAMUND, CHHATTISGARH, INDIA",21.19228455,82.48902633
8356,CHHATTISGARH,MUNGELI,2012,18,4,6,13,0,9,94,31,2,"MUNGELI, CHHATTISGARH, INDIA",22.0661098,81.6874282
8357,CHHATTISGARH,NARAYANPUR,2012,12,20,5,6,11,1,7,26,2,"NARAYANPUR, CHHATTISGARH, INDIA",19.5842032,81.11369855
8360,CHHATTISGARH,RAJNANDGAON,2012,45,29,31,9,1,17,173,71,2,"RAJNANDGAON, CHHATTISGARH, INDIA",21.06844245,80.79707794
8361,CHHATTISGARH,SARGUJA,2012,56,28,73,18,2,13,124,58,2,"SARGUJA, CHHATTISGARH, INDIA",21.5,82
8362,CHHATTISGARH,SUKMA,2012,24,30,1,7,6,3,7,14,2,"SUKMA, CHHATTISGARH, INDIA",18.26654225,81.29252341
8363,CHHATTISGARH,SURAJPUR,2012,59,16,74,15,0,9,83,481,2,"SURAJPUR, CHHATTISGARH, INDIA",23.3577769,82.97612767
8365,GOA,NORTH GOA,2012,28,20,26,15,3,11,563,151,2,"NORTH GOA, GOA, INDIA",15.60444125,74.00172406
8366,GOA,SOUTH GOA,2012,17,15,29,9,3,14,352,115,2,"SOUTH GOA, GOA, INDIA",15.21961365,74.1152813
8369,GUJARAT,AHMEDABAD RURAL,2012,34,33,5,67,15,30,324,518,2,"AHMEDABAD RURAL, GUJARAT, INDIA",23,71.75
8370,GUJARAT,AHWA-DANG,2012,7,0,1,1,1,0,10,14,2,"AHWA-DANG, GUJARAT, INDIA",20.7591213,73.6836611
8371,GUJARAT,AMRELI,2012,18,19,10,80,2,13,149,277,2,"AMRELI, GUJARAT, INDIA",20.866667,70.75
8372,GUJARAT,ANAND,2012,25,24,9,56,3,6,283,316,2,"ANAND, GUJARAT, INDIA",22.5586555,72.9627227
8373,GUJARAT,BHARUCH,2012,42,12,12,28,12,25,302,270,2,"BHARUCH, GUJARAT, INDIA",21.75,73
8374,GUJARAT,BHAVNAGAR,2012,46,23,13,105,2,30,408,592,2,"BHAVNAGAR, GUJARAT, INDIA",21.7718836,72.1416449
8375,GUJARAT,CID CRIME,2012,1,0,1,0,0,0,0,0,2,"CID CRIME, GUJARAT, INDIA",23,71.75
8377,GUJARAT,GANDHINAGAR,2012,23,4,20,29,6,26,376,215,2,"GANDHINAGAR, GUJARAT, INDIA",23.2232877,72.6492267
8378,GUJARAT,HIMATNAGAR,2012,30,6,10,57,5,9,205,171,2,"HIMATNAGAR, GUJARAT, INDIA",23.5971246,72.9588273
8379,GUJARAT,JAMNAGAR,2012,43,40,22,41,10,48,587,482,2,"JAMNAGAR, GUJARAT, INDIA",22.4732415,70.0552102
8380,GUJARAT,JUNAGADH,2012,40,17,15,63,7,18,275,464,2,"JUNAGADH, GUJARAT, INDIA",21.5185589,70.45917212
8381,GUJARAT,KHEDA NORTH,2012,24,8,18,62,10,11,206,280,2,"KHEDA NORTH, GUJARAT, INDIA",23,71.75
8382,GUJARAT,KUTCH (EAST(G)),2012,19,15,17,25,3,18,256,287,2,"KUTCH (EAST(G)), GUJARAT, INDIA",23.58333,70
8383,GUJARAT,KUTCH (WEST-BHUJ),2012,24,5,8,18,2,6,168,185,2,"KUTCH (WEST-BHUJ), GUJARAT, INDIA",23.58333,70
8384,GUJARAT,MEHSANA,2012,31,28,10,59,10,35,545,410,2,"MEHSANA, GUJARAT, INDIA",23.6015557,72.3867981
8385,GUJARAT,NARMADA,2012,17,3,7,6,3,0,39,94,2,"NARMADA, GUJARAT, INDIA",21.8438782,73.5273555
8386,GUJARAT,NAVSARI,2012,19,9,4,15,3,7,224,65,2,"NAVSARI, GUJARAT, INDIA",20.952407,72.9323831
8388,GUJARAT,PANCHMAHAL,2012,54,16,5,74,25,20,231,375,2,"PANCHMAHAL, GUJARAT, INDIA",22.7748893,73.620404
8389,GUJARAT,PATAN,2012,18,15,7,31,11,21,271,369,2,"PATAN, GUJARAT, INDIA",23.77405735,71.68373466
8390,GUJARAT,PORBANDAR,2012,18,8,10,8,1,8,67,68,2,"PORBANDAR, GUJARAT, INDIA",21.6409,69.611
8391,GUJARAT,RAJKOT COMMR.,2012,41,28,11,66,14,43,1013,336,2,"RAJKOT COMMR., GUJARAT, INDIA",23,71.75
8392,GUJARAT,RAJKOT RURAL,2012,48,21,20,62,4,19,275,313,2,"RAJKOT RURAL, GUJARAT, INDIA",23,71.75
8394,GUJARAT,SURAT RURAL,2012,55,16,13,33,14,18,495,135,2,"SURAT RURAL, GUJARAT, INDIA",23,71.75
8395,GUJARAT,SURENDRANAGAR,2012,40,26,19,51,4,18,209,428,2,"SURENDRANAGAR, GUJARAT, INDIA",22.75,71.666667
8396,GUJARAT,TAPI,2012,11,4,5,3,1,4,93,64,2,"TAPI, GUJARAT, INDIA",21.1060413,72.7008247
8397,GUJARAT,VADODARA COMMR.,2012,29,34,11,67,9,112,1333,375,2,"VADODARA COMMR., GUJARAT, INDIA",23,71.75
8398,GUJARAT,VADODARA RURAL,2012,74,6,15,73,11,18,310,296,2,"VADODARA RURAL, GUJARAT, INDIA",23,71.75
8399,GUJARAT,VALSAD,2012,21,14,12,25,4,20,551,189,2,"VALSAD, GUJARAT, INDIA",20.43219565,73.1409893
8400,GUJARAT,W.RLY AHMEDABAD,2012,3,3,1,2,0,8,214,37,2,"W.RLY AHMEDABAD, GUJARAT, INDIA",23.02579,72.58727
8401,GUJARAT,W.RLY VADODARA,2012,5,0,0,3,4,5,390,33,2,"W.RLY VADODARA, GUJARAT, INDIA",22.29941,73.20812
8403,HARYANA,AMBALA RURAL,2012,13,15,11,28,1,6,209,66,2,"AMBALA RURAL, HARYANA, INDIA",29.25,76.33333
