SL,STATE/UT,2019,2020,2021
1,Andhra Pradesh,636,3720,4356
2,Arunachal Pradesh,2,44,46
3,Assam,330,1161,1491
4,Bihar,7291,4578,11869
5,Chhattisgarh,1517,3278,4795
6,Goa,30,13,43
7,Gujarat,625,1395,2020
8,Haryana,1368,2343,3711
9,Himachal Pradesh,100,444,544
10,Jharkhand,312,400,712
11,Karnataka,582,1575,2157
12,Kerala,147,1609,1756
13,Madhya Pradesh,4614,11607,16221
14,Maharashtra,2506,4129,6635
15,Manipur,22,63,85
16,Meghalaya,18,66,84
17,Mizoram,0,0,0
18,Nagaland,3,26,29
19,Odisha,3271,4133,7404
20,Punjab,2169,1045,3214
21,Rajasthan,1222,4936,6158
22,Sikkim,3,8,11
23,Tamil Nadu,1769,6399,8168
24,Telangana,777,3956,4733
25,Tripura,36,153,189
26,Uttar Pradesh,1772,3522,5294
27,Uttarakhand,361,626,987
28,West Bengal,6134,9996,16130
,TOTAL STATE(S),37617,71225,108842
29,A&N Islands,9,25,34
30,Chandigarh,356,180,536
31,DNH and Daman & Diu,14,19,33
32,Delhi,5366,5772,11138
33,Jammu & Kashmir,444,279,723
34,Ladakh,4,0,4
35,Lakshadweep,0,0,0
36,Puducherry,6,35,41
,TOTAL UT(S),6199,6310,12509
,TOTAL ALL INDIA,43816,77535,121351
