SL,STATE/UT,2019,2020,2021
1,Andhra Pradesh,5452,14160,19612
2,Arunachal Pradesh,5,52,57
3,Assam,1233,4674,5907
4,Bihar,11247,7596,18843
5,Chhattisgarh,15987,16119,32106
6,Goa,821,525,1346
7,Gujarat,10059,14067,24126
8,Haryana,7453,13598,21051
9,Himachal Pradesh,1497,2203,3700
10,Jharkhand,917,847,1764
11,Karnataka,8324,16605,24929
12,Kerala,1560,9436,10996
13,Madhya Pradesh,48135,49057,97192
14,Maharashtra,42991,61927,104918
15,Manipur,73,194,267
16,Meghalaya,110,190,300
17,Mizoram,0,1,1
18,Nagaland,15,71,86
19,Odisha,29163,16435,45598
20,Punjab,11948,3694,15642
21,Rajasthan,17018,26320,43338
22,Sikkim,58,169,227
23,Tamil Nadu,14155,23911,38066
24,Telangana,4761,21825,26586
25,Tripura,694,1620,2314
26,Uttar Pradesh,11670,11088,22758
27,Uttarakhand,3621,3451,7072
28,West Bengal,52485,44200,96685
,TOTAL STATE(S),301452,364035,665487
29,A&N Islands,244,107,351
30,Chandigarh,2215,882,3097
31,D&N Haveli and Daman & Diu,120,148,268
32,Delhi,29775,21710,51485
33,Jammu & Kashmir,3813,2673,6486
34,Ladakh,68,24,92
35,Lakshadweep,0,0,0
36,Puducherry,73,265,338
,TOTAL UT(S),36308,25809,62117
,TOTAL ALL INDIA,337760,389844,727604
